"","seen","W","C","CW"
"1",0,126,86,64
"2",0,118,76,54
"3",0,61,66,44
"4",0,69,48,32
"5",0,57,59,42
"6",0,78,64,53
"7",0,114,61,41
"8",0,81,85,47
"9",0,73,57,33
"10",0,93,50,45
"11",0,116,92,49
"12",0,156,70,45
"13",0,90,66,48
"14",0,120,73,49
"15",0,99,68,44
"16",0,113,110,47
"17",0,103,78,52
"18",0,123,61,28
"19",0,86,65,42
"20",0,99,77,51
"21",0,102,77,54
"22",0,120,74,53
"23",0,128,100,56
"24",0,100,89,56
"25",0,95,61,37
"26",0,80,55,36
"27",0,98,92,51
"28",0,111,90,52
"29",0,101,85,45
"30",0,102,78,51
"31",1,100,66,48
"32",1,112,78,55
"33",1,82,84,37
"34",1,72,63,46
"35",1,72,65,47
"36",1,89,71,49
"37",1,108,46,29
"38",1,88,70,49
"39",1,116,83,67
"40",1,100,69,39
"41",1,99,70,43
"42",1,93,63,36
"43",1,100,93,62
"44",1,110,76,56
"45",1,100,83,36
"46",1,106,71,49
"47",1,115,112,66
"48",1,120,87,54
"49",1,97,82,41
