"","Order","Music","Time","Row","Column","Subject"
"1","CRN","NM",206,"R2","C3","S10"
"2","CRN","NM",178,"R2","C3","S11"
"3","CRN","NM",204,"R2","C3","S12"
"4","CRN","NM",169,"R2","C3","S13"
"5","CRN","NM",176,"R2","C3","S15"
"6","CRN","NM",176,"R2","C3","S16"
"7","CRN","NM",194,"R2","C3","S17"
"8","CRN","NM",206,"R2","C3","S18"
"9","NCR","NM",211,"R1","C1","S19"
"10","NCR","NM",181,"R1","C1","S21"
"11","NCR","NM",224,"R1","C1","S22"
"12","NCR","NM",177,"R1","C1","S23"
"13","NCR","NM",180,"R1","C1","S24"
"14","NCR","NM",218,"R1","C1","S25"
"15","NCR","NM",229,"R1","C1","S26"
"16","NCR","NM",176,"R1","C1","S27"
"17","RNC","NM",190,"R3","C2","S45"
"18","RNC","NM",181,"R3","C2","S46"
"19","RNC","NM",186,"R3","C2","S47"
"20","RNC","NM",170,"R3","C2","S48"
"21","RNC","NM",178,"R3","C2","S49"
"22","RNC","NM",168,"R3","C2","S50"
"23","RNC","NM",223,"R3","C2","S51"
"24","RNC","NM",199,"R3","C2","S52"
"25","CRN","CM",193,"R2","C1","S10"
"26","CRN","CM",168,"R2","C1","S11"
"27","CRN","CM",209,"R2","C1","S12"
"28","CRN","CM",178,"R2","C1","S13"
"29","CRN","CM",171,"R2","C1","S15"
"30","CRN","CM",171,"R2","C1","S16"
"31","CRN","CM",197,"R2","C1","S17"
"32","CRN","CM",193,"R2","C1","S18"
"33","NCR","CM",201,"R1","C2","S19"
"34","NCR","CM",188,"R1","C2","S21"
"35","NCR","CM",206,"R1","C2","S22"
"36","NCR","CM",176,"R1","C2","S23"
"37","NCR","CM",192,"R1","C2","S24"
"38","NCR","CM",203,"R1","C2","S25"
"39","NCR","CM",221,"R1","C2","S26"
"40","NCR","CM",192,"R1","C2","S27"
"41","RNC","CM",182,"R3","C3","S45"
"42","RNC","CM",186,"R3","C3","S46"
"43","RNC","CM",199,"R3","C3","S47"
"44","RNC","CM",179,"R3","C3","S48"
"45","RNC","CM",192,"R3","C3","S49"
"46","RNC","CM",177,"R3","C3","S50"
"47","RNC","CM",232,"R3","C3","S51"
"48","RNC","CM",192,"R3","C3","S52"
"49","CRN","IRM",208,"R2","C2","S10"
"50","CRN","IRM",163,"R2","C2","S11"
"51","CRN","IRM",212,"R2","C2","S12"
"52","CRN","IRM",151,"R2","C2","S13"
"53","CRN","IRM",168,"R2","C2","S15"
"54","CRN","IRM",167,"R2","C2","S16"
"55","CRN","IRM",188,"R2","C2","S17"
"56","CRN","IRM",185,"R2","C2","S18"
"57","NCR","IRM",202,"R1","C3","S19"
"58","NCR","IRM",184,"R1","C3","S21"
"59","NCR","IRM",200,"R1","C3","S22"
"60","NCR","IRM",168,"R1","C3","S23"
"61","NCR","IRM",180,"R1","C3","S24"
"62","NCR","IRM",161,"R1","C3","S25"
"63","NCR","IRM",196,"R1","C3","S26"
"64","NCR","IRM",181,"R1","C3","S27"
"65","RNC","IRM",166,"R3","C1","S45"
"66","RNC","IRM",188,"R3","C1","S46"
"67","RNC","IRM",204,"R3","C1","S47"
"68","RNC","IRM",177,"R3","C1","S48"
"69","RNC","IRM",174,"R3","C1","S49"
"70","RNC","IRM",165,"R3","C1","S50"
"71","RNC","IRM",226,"R3","C1","S51"
"72","RNC","IRM",191,"R3","C1","S52"
